Method,Seed,Profile,ScoreType,Scope,Feature,N,SpearmanRho,PValue
bandit_recovery_heavy,42.0,recovery_heavy,BanditRankScore,lowfreq_novel,GRN_in_degree,2419,0.17994983177062568,4.711272628601968e-19
bandit_recovery_heavy,42.0,recovery_heavy,BanditRankScore,lowfreq_novel,GRN_out_degree,2419,0.07821322143776452,0.00011778158164810174
bandit_recovery_heavy,42.0,recovery_heavy,BanditRankScore,lowfreq_novel,GRN_total_degree,2419,0.18346608924283378,9.36158705614704e-20
bandit_recovery_heavy,42.0,recovery_heavy,BanditRankScore,lowfreq_novel,Omics_Mutation,2419,0.34547103635024173,9.230492382587474e-69
bandit_recovery_heavy,42.0,recovery_heavy,BanditRankScore,lowfreq_novel,Omics_Expression,2419,0.0038821661064170096,0.8486510363663449
bandit_recovery_heavy,42.0,recovery_heavy,BanditRankScore,lowfreq_novel,Omics_Methylation,2419,-0.06431466058752974,0.0015516234506180108
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,MutationFrequency,9039,0.38127138110422465,0.0
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,PPI_Degree,9039,0.057394741619891686,4.748636198238203e-08
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,GRN_in_degree,9039,0.09274273031318704,9.99037525350161e-19
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,GRN_out_degree,9039,0.04768135381210836,5.755080364840818e-06
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,GRN_total_degree,9039,0.09507234083709559,1.3268422452970796e-19
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,Omics_Mutation,8957,0.3823721638899919,9.3539542526228e-310
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,Omics_Expression,8957,-0.006296664362617648,0.5512767431136849
bandit_compromise,42.0,compromise,BanditRolloutScore,all_9039,Omics_Methylation,8957,-0.07572048433293868,7.19920779300079e-13
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,MutationFrequency,2419,0.2790687041285119,1.6160068937902599e-44
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,PPI_Degree,2419,0.2912472559062291,1.6667192345020766e-48
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,GRN_in_degree,2419,0.1512983080282628,7.397877130229947e-14
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,GRN_out_degree,2419,0.07510818839288383,0.0002178320525774268
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,GRN_total_degree,2419,0.15429272125532342,2.339508756404342e-14
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,Omics_Mutation,2419,0.2790687041285119,1.6160068937902599e-44
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,Omics_Expression,2419,-0.0013704151939355324,0.9462897167938247
bandit_compromise,42.0,compromise,BanditRolloutScore,lowfreq_novel,Omics_Methylation,2419,-0.05955976636036777,0.003384875702207091
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,MutationFrequency,9039,0.381272298550608,0.0
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,PPI_Degree,9039,0.057381720261658525,4.781941332800733e-08
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,GRN_in_degree,9039,0.0927287166571613,1.0110916336775535e-18
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,GRN_out_degree,9039,0.04770019248625194,5.706362614162047e-06
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,GRN_total_degree,9039,0.09505901099524944,1.342448335656938e-19
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,Omics_Mutation,8957,0.38237314469809053,9.31720840296656e-310
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,Omics_Expression,8957,-0.006303877450070847,0.55082079894704
bandit_compromise,42.0,compromise,BanditRankScore,all_9039,Omics_Methylation,8957,-0.07573506722866474,7.126633516261055e-13
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,MutationFrequency,2419,0.279146820539465,1.5258194730853708e-44
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,PPI_Degree,2419,0.29113517627641156,1.8174408763085498e-48
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,GRN_in_degree,2419,0.1512374561398253,7.571197950776377e-14
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,GRN_out_degree,2419,0.07531944364210323,0.00020905618276169177
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,GRN_total_degree,2419,0.15423884235337523,2.388959855543537e-14
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,Omics_Mutation,2419,0.279146820539465,1.5258194730853708e-44
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,Omics_Expression,2419,-0.0014043138951583677,0.944963217268544
bandit_compromise,42.0,compromise,BanditRankScore,lowfreq_novel,Omics_Methylation,2419,-0.05963046956050508,0.003347103368067605
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,MutationFrequency,9039,0.2844954956821034,6.974103971481816e-168
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,PPI_Degree,9039,-0.03311660618030327,0.001638610141139239
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,GRN_in_degree,9039,0.04955961059327325,2.4283097699364803e-06
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,GRN_out_degree,9039,0.036043110704990604,0.0006094132601126772
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,GRN_total_degree,9039,0.05119589036205335,1.1165428942140727e-06
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,Omics_Mutation,8957,0.28547466264237453,1.4643751085870302e-167
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,Omics_Expression,8957,0.009522555681509042,0.3675229663807542
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,all_9039,Omics_Methylation,8957,-0.02537432678765154,0.016327383815898173
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,MutationFrequency,2419,0.1237591100414147,1.0137489621407313e-09
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,PPI_Degree,2419,0.15604644057259734,1.1794484413290104e-14
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_in_degree,2419,0.08412088638038426,3.434641815220218e-05
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_out_degree,2419,0.06208808319380185,0.0022500945990421156
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_total_degree,2419,0.086190215267727,2.1875758469463434e-05
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Mutation,2419,0.1237591100414147,1.0137489621407313e-09
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Expression,2419,-0.012955298433737878,0.5242016354522413
bandit_discovery_heavy,42.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Methylation,2419,-0.04815054311508078,0.017867442790042567
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,MutationFrequency,9039,0.2852807522340519,7.704429359139361e-169
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,PPI_Degree,9039,-0.03247507039693913,0.0020156878079423315
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,GRN_in_degree,9039,0.050325165173814745,1.6931906954789511e-06
