Method,Family,Seed,Profile,Scope,K,Evidence,SelectedN,HitN,HitRate,PoolHitRate,FoldEnrichment
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,IndependentStrongHit,30,2,0.06666666666666667,0.0062009094667217855,10.751111111111111
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,FrozenLiteratureHoldout,30,1,0.03333333333333333,0.0033071517155849523,10.079166666666667
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,CPTACRecurrence,30,13,0.43333333333333335,0.11988424968995452,3.6145977011494255
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,CPTACProteinSupport,30,2,0.06666666666666667,0.049607275733774284,1.343888888888889
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,DepMapCCRCCDependency,30,5,0.16666666666666666,0.12939231087226127,1.2880724174653886
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,DepMapCCRCCSelective,30,0,0.0,0.009094667217858619,0.0
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,PostHocNonMutationAnyHit,30,3,0.1,0.06200909466721786,1.6126666666666667
bandit_compromise,bandit,48.0,compromise,global_then_filter,50,PostHocNonMutationStrongHit,30,0,0.0,0.0,
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,IndependentAnyHit,72,27,0.375,0.1756924348904506,2.1344117647058822
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,IndependentStrongHit,72,2,0.027777777777777776,0.0062009094667217855,4.479629629629629
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,FrozenLiteratureHoldout,72,1,0.013888888888888888,0.0033071517155849523,4.199652777777778
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,CPTACRecurrence,72,25,0.3472222222222222,0.11988424968995452,2.8963122605363987
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,CPTACProteinSupport,72,3,0.041666666666666664,0.049607275733774284,0.8399305555555555
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,DepMapCCRCCDependency,72,9,0.125,0.12939231087226127,0.9660543130990414
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,DepMapCCRCCSelective,72,0,0.0,0.009094667217858619,0.0
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,PostHocNonMutationAnyHit,72,4,0.05555555555555555,0.06200909466721786,0.8959259259259259
bandit_compromise,bandit,48.0,compromise,global_then_filter,100,PostHocNonMutationStrongHit,72,0,0.0,0.0,
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,IndependentAnyHit,113,36,0.3185840707964602,0.1756924348904506,1.8133055700156167
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,IndependentStrongHit,113,2,0.017699115044247787,0.0062009094667217855,2.8542772861356935
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,FrozenLiteratureHoldout,113,1,0.008849557522123894,0.0033071517155849523,2.6758849557522124
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,CPTACRecurrence,113,31,0.2743362831858407,0.11988424968995452,2.288342996643271
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,CPTACProteinSupport,113,5,0.04424778761061947,0.049607275733774284,0.8919616519174042
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,DepMapCCRCCDependency,113,17,0.1504424778761062,0.12939231087226127,1.1626848370041563
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,DepMapCCRCCSelective,113,1,0.008849557522123894,0.009094667217858619,0.9730490748189863
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,PostHocNonMutationAnyHit,113,7,0.061946902654867256,0.06200909466721786,0.9989970501474926
bandit_compromise,bandit,48.0,compromise,global_then_filter,150,PostHocNonMutationStrongHit,113,0,0.0,0.0,
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,IndependentAnyHit,50,11,0.22,0.1756924348904506,1.2521882352941176
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,IndependentStrongHit,50,1,0.02,0.0062009094667217855,3.225333333333334
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,FrozenLiteratureHoldout,50,2,0.04,0.0033071517155849523,12.095
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,CPTACRecurrence,50,8,0.16,0.11988424968995452,1.3346206896551724
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,CPTACProteinSupport,50,2,0.04,0.049607275733774284,0.8063333333333335
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,DepMapCCRCCDependency,50,7,0.14,0.12939231087226127,1.0819808306709267
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,DepMapCCRCCSelective,50,0,0.0,0.009094667217858619,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,PostHocNonMutationAnyHit,50,4,0.08,0.06200909466721786,1.2901333333333334
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,50,PostHocNonMutationStrongHit,50,0,0.0,0.0,
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,IndependentAnyHit,100,23,0.23,0.1756924348904506,1.3091058823529411
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,IndependentStrongHit,100,1,0.01,0.0062009094667217855,1.612666666666667
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,FrozenLiteratureHoldout,100,2,0.02,0.0033071517155849523,6.0475
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,CPTACRecurrence,100,19,0.19,0.11988424968995452,1.5848620689655173
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,CPTACProteinSupport,100,3,0.03,0.049607275733774284,0.60475
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,DepMapCCRCCDependency,100,10,0.1,0.12939231087226127,0.7728434504792332
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,DepMapCCRCCSelective,100,0,0.0,0.009094667217858619,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,PostHocNonMutationAnyHit,100,5,0.05,0.06200909466721786,0.8063333333333333
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,100,PostHocNonMutationStrongHit,100,0,0.0,0.0,
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,IndependentAnyHit,150,30,0.2,0.1756924348904506,1.1383529411764706
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,IndependentStrongHit,150,1,0.006666666666666667,0.0062009094667217855,1.0751111111111114
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,FrozenLiteratureHoldout,150,2,0.013333333333333334,0.0033071517155849523,4.031666666666667
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,CPTACRecurrence,150,22,0.14666666666666667,0.11988424968995452,1.2234022988505748
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,CPTACProteinSupport,150,7,0.04666666666666667,0.049607275733774284,0.9407222222222223
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,DepMapCCRCCDependency,150,18,0.12,0.12939231087226127,0.9274121405750798
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,DepMapCCRCCSelective,150,0,0.0,0.009094667217858619,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,PostHocNonMutationAnyHit,150,9,0.06,0.06200909466721786,0.9676
bandit_discovery_heavy,bandit,48.0,discovery_heavy,candidate_pool,150,PostHocNonMutationStrongHit,150,0,0.0,0.0,
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,IndependentAnyHit,31,6,0.1935483870967742,0.1756924348904506,1.1016318785578747
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,IndependentStrongHit,31,0,0.0,0.0062009094667217855,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,FrozenLiteratureHoldout,31,1,0.03225806451612903,0.0033071517155849523,9.754032258064516
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,CPTACRecurrence,31,5,0.16129032258064516,0.11988424968995452,1.3453837597330367
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,CPTACProteinSupport,31,0,0.0,0.049607275733774284,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,DepMapCCRCCDependency,31,3,0.0967741935483871,0.12939231087226127,0.7479130165928063
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,DepMapCCRCCSelective,31,0,0.0,0.009094667217858619,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,PostHocNonMutationAnyHit,31,1,0.03225806451612903,0.06200909466721786,0.5202150537634409
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,50,PostHocNonMutationStrongHit,31,0,0.0,0.0,
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,IndependentAnyHit,65,14,0.2153846153846154,0.1756924348904506,1.225918552036199
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,IndependentStrongHit,65,1,0.015384615384615385,0.0062009094667217855,2.4810256410256413
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,FrozenLiteratureHoldout,65,2,0.03076923076923077,0.0033071517155849523,9.303846153846155
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,CPTACRecurrence,65,10,0.15384615384615385,0.11988424968995452,1.283289124668435
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,CPTACProteinSupport,65,3,0.046153846153846156,0.049607275733774284,0.9303846153846155
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,DepMapCCRCCDependency,65,7,0.1076923076923077,0.12939231087226127,0.8322929466699435
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,DepMapCCRCCSelective,65,0,0.0,0.009094667217858619,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,PostHocNonMutationAnyHit,65,5,0.07692307692307693,0.06200909466721786,1.2405128205128206
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,100,PostHocNonMutationStrongHit,65,0,0.0,0.0,
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,IndependentAnyHit,96,22,0.22916666666666666,0.1756924348904506,1.304362745098039
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,IndependentStrongHit,96,1,0.010416666666666666,0.0062009094667217855,1.679861111111111
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,FrozenLiteratureHoldout,96,2,0.020833333333333332,0.0033071517155849523,6.299479166666667
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,CPTACRecurrence,96,18,0.1875,0.11988424968995452,1.5640086206896553
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,CPTACProteinSupport,96,3,0.03125,0.049607275733774284,0.6299479166666667
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,DepMapCCRCCDependency,96,9,0.09375,0.12939231087226127,0.724540734824281
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,DepMapCCRCCSelective,96,0,0.0,0.009094667217858619,0.0
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,PostHocNonMutationAnyHit,96,5,0.052083333333333336,0.06200909466721786,0.8399305555555556
bandit_discovery_heavy,bandit,48.0,discovery_heavy,global_then_filter,150,PostHocNonMutationStrongHit,96,0,0.0,0.0,
