Method,Family,Profile,Scope,K,Evidence,RunN,SelectedNMean,HitRateMean,HitRateSD,FoldMean,FoldSD
GCN,GCN,supervised,candidate_pool,50,DepMapCCRCCSelective,3,50.0,0.0,0.0,0.0,0.0
GCN,GCN,supervised,candidate_pool,50,FrozenLiteratureHoldout,3,50.0,0.02,0.0,6.0475,0.0
GCN,GCN,supervised,candidate_pool,50,IndependentAnyHit,3,50.0,0.5133333333333333,0.06429100507328642,2.921772549019608,0.3659292735818347
GCN,GCN,supervised,candidate_pool,50,IndependentStrongHit,3,50.0,0.04,0.0,6.450666666666668,0.0
GCN,GCN,supervised,candidate_pool,50,PostHocNonMutationAnyHit,3,50.0,0.09333333333333334,0.011547005383792518,1.5051555555555556,0.1862147068226273
GCN,GCN,supervised,candidate_pool,50,PostHocNonMutationStrongHit,3,50.0,0.0,0.0,,
GCN,GCN,supervised,candidate_pool,100,CPTACProteinSupport,3,100.0,0.06666666666666667,0.005773502691896264,1.3438888888888891,0.1163841917641422
GCN,GCN,supervised,candidate_pool,100,CPTACRecurrence,3,100.0,0.39666666666666667,0.025166114784235843,3.3087471264367814,0.2099201091829879
GCN,GCN,supervised,candidate_pool,100,DepMapCCRCCDependency,3,100.0,0.09666666666666668,0.015275252316519472,0.7470820021299254,0.11805378707239798
GCN,GCN,supervised,candidate_pool,100,DepMapCCRCCSelective,3,100.0,0.0,0.0,0.0,0.0
GCN,GCN,supervised,candidate_pool,100,FrozenLiteratureHoldout,3,100.0,0.02,0.009999999999999998,6.047499999999999,3.0237499999999993
GCN,GCN,supervised,candidate_pool,100,IndependentAnyHit,3,100.0,0.44333333333333336,0.020816659994661355,2.5233490196078434,0.11848353065196669
GCN,GCN,supervised,candidate_pool,100,IndependentStrongHit,3,100.0,0.04,0.010000000000000002,6.450666666666668,1.612666666666667
GCN,GCN,supervised,candidate_pool,100,PostHocNonMutationAnyHit,3,100.0,0.08666666666666667,0.011547005383792518,1.3976444444444445,0.1862147068226273
GCN,GCN,supervised,candidate_pool,100,PostHocNonMutationStrongHit,3,100.0,0.0,0.0,,
GCN,GCN,supervised,candidate_pool,150,CPTACProteinSupport,3,150.0,0.07111111111111111,0.0076980035891950115,1.4334814814814816,0.15517892235218955
GCN,GCN,supervised,candidate_pool,150,CPTACRecurrence,3,150.0,0.3377777777777778,0.023412563895228278,2.8175325670498084,0.1952930760777835
GCN,GCN,supervised,candidate_pool,150,DepMapCCRCCDependency,3,150.0,0.11111111111111112,0.016777409856157218,0.8587149449769257,0.12966311323336846
GCN,GCN,supervised,candidate_pool,150,DepMapCCRCCSelective,3,150.0,0.0,0.0,0.0,0.0
GCN,GCN,supervised,candidate_pool,150,FrozenLiteratureHoldout,3,150.0,0.017777777777777778,0.003849001794597505,5.3755555555555565,1.1638419176414205
GCN,GCN,supervised,candidate_pool,150,IndependentAnyHit,3,150.0,0.3888888888888889,0.016777409856157218,2.213464052287582,0.09549306927539847
GCN,GCN,supervised,candidate_pool,150,IndependentStrongHit,3,150.0,0.03777777777777778,0.0038490017945975057,6.092296296296297,0.6207156894087583
GCN,GCN,supervised,candidate_pool,150,PostHocNonMutationAnyHit,3,150.0,0.08888888888888889,0.010183501544346312,1.4334814814814816,0.16422593490515813
GCN,GCN,supervised,candidate_pool,150,PostHocNonMutationStrongHit,3,150.0,0.0,0.0,,
GCN,GCN,supervised,global_then_filter,50,CPTACProteinSupport,3,26.666666666666668,0.0618342151675485,0.01895519414432213,1.2464747207524984,0.38210512195929364
GCN,GCN,supervised,global_then_filter,50,CPTACRecurrence,3,26.666666666666668,0.5752204585537918,0.049235024168406985,4.798132031867664,0.41068801194267757
GCN,GCN,supervised,global_then_filter,50,DepMapCCRCCDependency,3,26.666666666666668,0.12509700176366842,0.02097243531021801,0.9668039848764023,0.16208409270101387
GCN,GCN,supervised,global_then_filter,50,DepMapCCRCCSelective,3,26.666666666666668,0.0,0.0,0.0,0.0
GCN,GCN,supervised,global_then_filter,50,FrozenLiteratureHoldout,3,26.666666666666668,0.03758377425044091,0.0021945450371510617,11.364393738977071,0.6635755556085535
GCN,GCN,supervised,global_then_filter,50,IndependentAnyHit,3,26.666666666666668,0.6128042328042328,0.04959938609871035,3.487937503890445,0.2823080352300715
GCN,GCN,supervised,global_then_filter,50,IndependentStrongHit,3,26.666666666666668,0.0618342151675485,0.01895519414432213,9.971797766019987,3.056840975674349
GCN,GCN,supervised,global_then_filter,50,PostHocNonMutationAnyHit,3,26.666666666666668,0.0994179894179894,0.016933118279484214,1.6032807760141095,0.27307475412048215
GCN,GCN,supervised,global_then_filter,50,PostHocNonMutationStrongHit,3,26.666666666666668,0.0,0.0,,
GCN,GCN,supervised,global_then_filter,100,CPTACProteinSupport,3,67.0,0.06965256965256965,0.00830222211842801,1.4040797165797168,0.16735896087064478
GCN,GCN,supervised,global_then_filter,100,CPTACRecurrence,3,67.0,0.42801642801642803,0.033802951117881196,3.5702473771439287,0.2819632370832919
GCN,GCN,supervised,global_then_filter,100,DepMapCCRCCDependency,3,67.0,0.08488178488178488,0.011671792305868673,0.6560033151087463,0.09020468238944508
GCN,GCN,supervised,global_then_filter,100,DepMapCCRCCSelective,3,67.0,0.0,0.0,0.0,0.0
GCN,GCN,supervised,global_then_filter,100,FrozenLiteratureHoldout,3,67.0,0.03016983016983017,0.015593058388805472,9.122602397602398,4.7149510303150555
GCN,GCN,supervised,global_then_filter,100,IndependentAnyHit,3,67.0,0.4728382728382728,0.03417099971618148,2.6912841929312514,0.19449329014927738
GCN,GCN,supervised,global_then_filter,100,IndependentStrongHit,3,67.0,0.05500055500055501,0.01052683175215899,8.86975616975617,1.6976270672315064
GCN,GCN,supervised,global_then_filter,100,PostHocNonMutationAnyHit,3,67.0,0.09982239982239982,0.012245193968222828,1.6098025678025678,0.19747416139420682
GCN,GCN,supervised,global_then_filter,100,PostHocNonMutationStrongHit,3,67.0,0.0,0.0,,
GCN,GCN,supervised,global_then_filter,150,CPTACProteinSupport,3,109.33333333333333,0.0701058201058201,0.004769247718867714,1.4132164902998234,0.09614008526617505
GCN,GCN,supervised,global_then_filter,150,CPTACRecurrence,3,109.33333333333333,0.4025573192239859,0.012502157741409033,3.3578832938028342,0.10428523991885663
GCN,GCN,supervised,global_then_filter,150,DepMapCCRCCDependency,3,109.33333333333333,0.1068121693121693,0.019959414567887013,0.8254908548438898,0.15425502824191262
GCN,GCN,supervised,global_then_filter,150,DepMapCCRCCSelective,3,109.33333333333333,0.0,0.0,0.0,0.0
GCN,GCN,supervised,global_then_filter,150,FrozenLiteratureHoldout,3,109.33333333333333,0.021384479717813053,0.0055466250552950284,6.4661320546737215,1.6771607510948345
