Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
BICD1	4.257575757575758	2.294211690470845e-153	0.54060006	0.0
FBXW2	4.742424242424242	1.7760953240947375e-87	-0.027349845	1.0
ASNS	6.7727272727272725	1.0	0.25675726	1.294686038941261e-28
MATN4	7.651515151515151	1.0	-0.06058077	1.0
ARNT	3.696969696969697	5.152520878395471e-239	0.02397961	1.0
ASXL2	5.476923076923077	6.80102026696667e-18	0.4473328	2.01213e-319
IL27	5.121212121212121	7.842657521703938e-46	0.053327184	1.0
ERCC8	5.333333333333333	1.0790384356130577e-27	0.16098224	1.0
KLHL35	4.484848484848484	4.014635475591554e-121	-0.06485338	1.0
PIP4K2C	5.0606060606060606	9.495982898785684e-52	0.04766577	1.0
RAD54B	5.303030303030303	5.000995631703424e-30	0.17238252	1.0
CCNL1	5.121212121212121	7.842657521703938e-46	0.39179996	1.0544767301338362e-220
SPRY4	4.378787878787879	6.28958515631937e-136	0.50925726	0.0
PARP14	7.621212121212121	1.0	0.5383216	0.0
CCT4	4.575757575757576	7.642634320383592e-109	-0.07903744	1.0
ATP2B1	4.363636363636363	4.4418567291027624e-138	0.15025964	1.0
TTN	5.409090909090909	2.9159368781695483e-22	-0.12841892	1.0
PAICS	5.4393939393939394	2.973650604950998e-20	-0.0013072775	1.0
RNF31	4.863636363636363	5.160066025918051e-73	-0.20145802	1.0
PIK3R2	4.075757575757576	1.943615093456485e-180	0.26471227	8.53240686099679e-36
ITGA2B	5.454545454545454	2.7725974817306937e-19	-0.21801797	1.0
UBA6	4.757575757575758	1.2813048174903688e-85	0.16719031	1.0
FBXO33	4.515151515151516	5.4796647160484944e-117	-0.075503595	1.0
RIPK4	4.303030303030303	9.116079619484862e-147	0.38280234	4.868166408246535e-205
CRELD2	8.878787878787879	1.0	-0.0026152306	1.0
KRT16	5.666666666666667	2.8110393516224482e-08	0.22545832	4.3894996997996766e-08
MAP3K11	3.8333333333333335	1.0527038113259565e-217	-0.19093013	1.0
RXFP1	15.0	1.0	0.075635284	1.0
SIX4	5.7727272727272725	0.00012696930978608074	0.16155104	1.0
NPTX1	15.0	1.0	0.16588807	1.0
CHAT	4.121212121212121	1.4005079411372226e-173	-0.07664304	1.0
MX1	6.075757575757576	1.0	0.39599317	4.700392463254041e-228
KATNA1	4.893939393939394	1.4942820346636513e-69	0.33467513	1.5123165383692016e-125
GABRB3	4.333333333333333	2.099189068911428e-142	0.45847082	0.0
PNKD	15.0	1.0	-0.008712513	1.0
ZNF451	4.2727272727272725	3.653471191512652e-151	0.628336	0.0
ANLN	6.757575757575758	1.0	0.07392255	1.0
