Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
CCKBR	6.863636363636363	1.0	0.2916717	1.0465321794125308e-78
HPRT1	6.2727272727272725	1.0	0.18315768	1.0
FBXO3	5.863636363636363	0.0001074974518139196	0.41272557	2.6725316719981797e-281
EIF3L	5.924242424242424	0.0033040705224971884	0.42949003	5.99283029424e-312
KITLG	5.0	2.784639304065503e-64	0.3593298	1.9788589869793596e-185
PSMD11	3.621212121212121	1.6813079197000762e-251	0.2433672	2.6397801675527884e-25
MID1IP1	5.924242424242424	0.0033040705224971884	0.24586463	2.0955505698978125e-27
STAP1	4.712121212121212	3.1719869210396293e-97	0.434628	2.46e-321
C11orf54	5.757575757575758	3.3260698279418764e-08	0.25333413	3.710915949441722e-34
SHFM1	4.712121212121212	3.1719869210396293e-97	0.12568054	1.0
RGS5	6.045454545454546	0.254656797901843	0.23953538	3.059627740963533e-22
C12orf10	4.803030303030303	2.7367645399029442e-86	0.33641562	1.6170799182859104e-146
PRPSAP1	7.878787878787879	1.0	0.21541923	1.5704525898727622e-07
CORO1A	5.287878787878788	4.435475492969264e-37	0.35136768	1.111589767359857e-171
TRA2A	4.363636363636363	7.512830586913155e-143	0.42256182	2.7937224969403945e-299
ECSIT	4.0606060606060606	5.7613808878307085e-186	0.46816978	0.0
RBX1	4.590909090909091	1.7383763998462225e-112	0.17782436	1.0
RNF40	5.015151515151516	1.0736043812980293e-62	0.5298254	0.0
PMM1	7.2727272727272725	1.0	0.20088372	0.012058063553344546
EAPP	5.2727272727272725	2.3924807267209796e-38	0.3122139	3.574743062658949e-108
RAB4B	7.333333333333333	1.0	0.17883386	1.0
LTA	4.7272727272727275	2.2662035039882355e-95	0.3243547	5.465516721686876e-127
GNMT	5.909090909090909	0.0015217723481678817	0.30616248	3.691121713295924e-99
CXADR	5.090909090909091	5.1713704161927095e-55	0.24994878	5.202474712121244e-31
UXS1	4.045454545454546	3.500482389273137e-188	0.39489448	7.910199403156644e-249
TAF1D	4.378787878787879	9.114755093831552e-141	0.4222056	1.2518939716146402e-298
GH2	5.015151515151516	1.0736043812980293e-62	0.30192986	5.183795566747163e-93
NET1	5.287878787878788	4.435475492969264e-37	0.45822704	0.0
GNG2	7.045454545454546	1.0	0.16316715	1.0
LSM3	5.651515151515151	7.347178639562884e-13	0.12285319	1.0
ROPN1B	15.0	1.0	0.19643924	0.0957721379301098
GOT2	15.0	1.0	0.28675616	3.610357604324648e-72
GATAD2A	4.53030303030303	2.2306482421952033e-120	0.5711159	0.0
IL21	5.303030303030303	7.887011253946248e-36	0.25056106	1.4373471314732777e-31
HFE	7.424242424242424	1.0	0.19931117	0.026917920682105693
LSM12	6.363636363636363	1.0	0.21184051	4.7849287591702235e-06
CPEB1	5.2272727272727275	2.9052237252149825e-42	0.4946148	0.0
GNG13	7.045454545454546	1.0	0.14247659	1.0
CKS1B	4.151515151515151	9.15888580977784e-173	0.26684305	4.573122845959542e-48
UCP2	4.151515151515151	9.15888580977784e-173	0.49049672	0.0
CD27	5.045454545454546	1.4229306440703084e-59	0.34593797	1.9541431113572006e-162
RAB33A	6.7272727272727275	1.0	0.24644646	6.619389133600427e-28
TNNI1	7.393939393939394	1.0	0.19263339	0.3480375100744397
IFIT2	15.0	1.0	0.30058563	4.3392566333099124e-91
CEP95	6.651515151515151	1.0	0.47624567	0.0
TRAPPC6A	15.0	1.0	0.13115892	1.0
SERPING1	9.757575757575758	1.0	0.32000265	3.876148898892751e-120
CCL7	9.015151515151516	1.0	0.15302792	1.0
LYST	6.621212121212121	1.0	0.6782619	0.0
UIMC1	5.136363636363637	1.329601873108839e-50	0.32408804	1.4463562423095436e-126
STX4	6.03030303030303	0.17626248537921577	0.19195315	0.4197577330657202
PIP5K1C	5.378787878787879	7.002849665867642e-30	0.5480103	0.0
BCL7A	5.0606060606060606	4.89685641010256e-58	0.27332872	1.8007031264846196e-55
SYPL1	7.0606060606060606	1.0	0.20968862	3.0405145173385474e-05
NCF1	3.621212121212121	1.6813079197000762e-251	0.14728144	1.0
ANXA3	5.242424242424242	6.099209833098505e-41	0.41321117	3.460832548555296e-282
DSG1	5.9393939393939394	0.006813995721858698	0.67636925	0.0
TUBB1	15.0	1.0	0.25797662	1.0694596138666651e-38
SH3BGRL3	4.424242424242424	1.483232711503633e-134	0.20974259	2.9082670059173965e-05
VGLL1	5.545454545454546	1.2242493613827866e-18	0.2905741	3.1486517826039844e-77
CCL4	8.181818181818182	1.0	0.15312938	1.0
HNRNPC	4.287878787878788	2.2087249048920608e-153	0.4171479	2.2226161922408605e-289
ZNF473	11.242424242424242	1.0	0.30976436	1.7123403461474424e-104
RALYL	5.03030303030303	3.992657506387221e-61	0.41579726	6.554728938410363e-287
AR	3.0606060606060606	0.0	-0.13643685	1.0
CD3G	5.5	1.8957199282862748e-21	0.24084301	2.9017958181296653e-23
HGS	3.9242424242424243	4.600422224434154e-206	0.43900403	0.0
C5orf22	5.075757575757576	1.6271107072498622e-56	0.23976077	2.0469429185794414e-22
CDC16	4.787878787878788	4.431250677636168e-88	0.53286743	0.0
HRK	4.454545454545454	1.8518644066753443e-130	0.2547803	1.5266750402616403e-35
AK2	6.984848484848484	1.0	0.2426976	9.361883898975999e-25
CFHR3	10.151515151515152	1.0	0.2830565	2.1542606206514886e-67
MCHR2	15.0	1.0	0.2400117	1.3058452922913782e-22
NUCKS1	15.0	1.0	0.18320633	1.0
DCTN5	5.666666666666667	3.978664970448861e-12	0.18364778	1.0
STAR	4.757575757575758	1.0619875368314136e-91	0.31534773	6.098691151204124e-113
KIAA1984	5.454545454545454	1.875469319795333e-24	0.46478835	0.0
BTLA	4.742424242424242	1.5808109845269243e-93	0.40803888	9.62813907723456e-273
ID3	4.196969696969697	2.9882021010514624e-166	0.1336297	1.0
ARPC5L	7.075757575757576	1.0	0.17641237	1.0
LOH12CR1	5.46969696969697	1.979659785672327e-23	0.24702005	2.107368714006413e-28
MEGF10	5.2272727272727275	2.9052237252149825e-42	0.6306841	0.0
SNRPF	5.924242424242424	0.0033040705224971884	0.1915388	0.4676116145791848
ALPI	5.257575757575758	1.2355595419735018e-39	0.39744204	1.8878079391942268e-253
PROP1	5.166666666666667	9.397055613032697e-48	0.18209471	1.0
PPP4C	4.2727272727272725	1.6441818492106707e-155	0.44050407	0.0
NDFIP1	5.166666666666667	9.397055613032697e-48	0.32679638	7.019004510093725e-131
