Profile,Preference,Seed,Rank,Gene,BanditRolloutScore,BanditRankScore
compromise,r0.50_d0.50,42,1,VHL,2.5147647857666016,-1.0
compromise,r0.50_d0.50,42,2,PBRM1,1.2466144561767578,-2.0
compromise,r0.50_d0.50,42,3,MUC4,1.5560805797576904,-3.0
compromise,r0.50_d0.50,42,4,SETD2,1.0048433542251587,-4.0
compromise,r0.50_d0.50,42,5,BAP1,0.838365912437439,-5.0
compromise,r0.50_d0.50,42,6,MTOR,0.7875946760177612,-6.0
compromise,r0.50_d0.50,42,7,TP53,0.6171520948410034,-7.0
compromise,r0.50_d0.50,42,8,GALNT11,0.5320485830307007,-8.0
compromise,r0.50_d0.50,42,9,ATM,0.3058977127075195,-9.0
compromise,r0.50_d0.50,42,10,SMARCA4,0.2470749467611313,-10.0
compromise,r0.50_d0.50,42,11,EGFR,0.1799503564834594,-11.0
compromise,r0.50_d0.50,42,12,BRCA1,0.0656034722924232,-12.0
compromise,r0.50_d0.50,42,13,PIK3CA,0.0664184242486953,-13.0
compromise,r0.50_d0.50,42,14,SPEN,0.06106798350811,-14.0
compromise,r0.50_d0.50,42,15,DST,0.0550233870744705,-15.0
compromise,r0.50_d0.50,42,16,EP300,0.0638019889593124,-16.0
compromise,r0.50_d0.50,42,17,MLL2,0.058256059885025,-17.0
compromise,r0.50_d0.50,42,18,SVIL,0.0498077571392059,-18.0
compromise,r0.50_d0.50,42,19,PABPC1,0.0416528582572937,-19.0
compromise,r0.50_d0.50,42,20,KCNJ12,0.0359738916158676,-20.0
compromise,r0.50_d0.50,42,21,KIF1A,0.0366807579994201,-21.0
compromise,r0.50_d0.50,42,22,PAK6,0.0354792028665542,-22.0
compromise,r0.50_d0.50,42,23,PCLO,0.0355936735868454,-23.0
compromise,r0.50_d0.50,42,24,BIRC6,0.0340542942285537,-24.0
compromise,r0.50_d0.50,42,25,CREBBP,0.0315990224480629,-25.0
compromise,r0.50_d0.50,42,26,SOS1,0.03195121884346,-26.0
compromise,r0.50_d0.50,42,27,XPO1,0.029707133769989,-27.0
compromise,r0.50_d0.50,42,28,JAK2,0.0293235555291175,-28.0
compromise,r0.50_d0.50,42,29,BRCA2,0.0233361274003982,-29.0
compromise,r0.50_d0.50,42,30,SRC,0.0220051649957895,-30.0
compromise,r0.50_d0.50,42,31,NRIP1,0.0210241675376892,-31.0
compromise,r0.50_d0.50,42,32,MAP2K3,0.0195622891187667,-32.0
compromise,r0.50_d0.50,42,33,CLTC,0.0200983732938766,-33.0
compromise,r0.50_d0.50,42,34,CHD3,0.0195605307817459,-34.0
compromise,r0.50_d0.50,42,35,WASL,0.0179608911275863,-35.0
compromise,r0.50_d0.50,42,36,TBC1D1,0.0179543495178222,-36.0
compromise,r0.50_d0.50,42,37,BLM,0.0181207358837127,-37.0
compromise,r0.50_d0.50,42,38,SALL1,0.0177190005779266,-38.0
compromise,r0.50_d0.50,42,39,KIAA0930,0.0170311033725738,-39.0
compromise,r0.50_d0.50,42,40,GRB2,0.0172016192227602,-40.0
compromise,r0.50_d0.50,42,41,PTS,0.0178090631961822,-41.0
compromise,r0.50_d0.50,42,42,NCOR1,0.0215361565351486,-42.0
compromise,r0.50_d0.50,42,43,RARA,0.0196124762296676,-43.0
compromise,r0.50_d0.50,42,44,HSPA8,0.0189916491508483,-44.0
compromise,r0.50_d0.50,42,45,SMAD2,0.0191727876663208,-45.0
compromise,r0.50_d0.50,42,46,SPTA1,0.0191085934638977,-46.0
compromise,r0.50_d0.50,42,47,ERBB4,0.018978476524353,-47.0
compromise,r0.50_d0.50,42,48,LRP1,0.0177797079086303,-48.0
compromise,r0.50_d0.50,42,49,PIK3R1,0.0172763913869857,-49.0
compromise,r0.50_d0.50,42,50,JMJD1C,0.0167433321475982,-50.0
compromise,r0.50_d0.50,42,51,SHC1,0.0158857554197311,-51.0
compromise,r0.50_d0.50,42,52,APC,0.0150782167911529,-52.0
compromise,r0.50_d0.50,42,53,SVEP1,0.0140645205974578,-53.0
compromise,r0.50_d0.50,42,54,KIF1B,0.0127809643745422,-54.0
compromise,r0.50_d0.50,42,55,PTEN,0.0121092796325683,-55.0
compromise,r0.50_d0.50,42,56,ZFPM2,0.0128724873065948,-56.0
compromise,r0.50_d0.50,42,57,JUN,0.0136464536190032,-57.0
compromise,r0.50_d0.50,42,58,PDGFRA,0.0131023228168487,-58.0
compromise,r0.50_d0.50,42,59,ATXN1,0.0126159042119979,-59.0
compromise,r0.50_d0.50,42,60,GRIN2B,0.0144001841545104,-60.0
compromise,r0.50_d0.50,42,61,USH2A,0.0139464139938354,-61.0
compromise,r0.50_d0.50,42,62,LARP1,0.0133140981197357,-62.0
compromise,r0.50_d0.50,42,63,AR,0.0133980959653854,-63.0
compromise,r0.50_d0.50,42,64,NMT2,0.0124663114547729,-64.0
