Profile,Preference,Seed,Rank,Gene,BanditRolloutScore,BanditRankScore
recovery_heavy,r0.80_d0.20,45,1,VHL,4.064867973327637,-1.0
recovery_heavy,r0.80_d0.20,45,2,PBRM1,2.073521614074707,-2.0
recovery_heavy,r0.80_d0.20,45,3,MUC4,2.467440605163574,-3.0
recovery_heavy,r0.80_d0.20,45,4,SETD2,1.5652258396148682,-4.0
recovery_heavy,r0.80_d0.20,45,5,BAP1,1.2932076454162598,-5.0
recovery_heavy,r0.80_d0.20,45,6,MTOR,1.2309222221374512,-6.0
recovery_heavy,r0.80_d0.20,45,7,TP53,0.9226112365722656,-7.0
recovery_heavy,r0.80_d0.20,45,8,DST,0.3660952150821686,-8.0
recovery_heavy,r0.80_d0.20,45,9,ATM,0.3211837708950043,-9.0
recovery_heavy,r0.80_d0.20,45,10,PABPC1,0.2859183549880981,-10.0
recovery_heavy,r0.80_d0.20,45,11,SMARCA4,0.2807663083076477,-11.0
recovery_heavy,r0.80_d0.20,45,12,PIK3CA,0.2762050926685333,-12.0
recovery_heavy,r0.80_d0.20,45,13,SPEN,0.2550854682922363,-13.0
recovery_heavy,r0.80_d0.20,45,14,MLL2,0.2014401406049728,-14.0
recovery_heavy,r0.80_d0.20,45,15,SVIL,0.1735681742429733,-15.0
recovery_heavy,r0.80_d0.20,45,16,SOS1,0.1628636866807937,-16.0
recovery_heavy,r0.80_d0.20,45,17,PCLO,0.1499114036560058,-17.0
recovery_heavy,r0.80_d0.20,45,18,USH2A,0.148931086063385,-18.0
recovery_heavy,r0.80_d0.20,45,19,BRCA2,0.1503403037786483,-19.0
recovery_heavy,r0.80_d0.20,45,20,KCNJ12,0.1397816985845565,-20.0
recovery_heavy,r0.80_d0.20,45,21,GALNT11,0.1364170312881469,-21.0
recovery_heavy,r0.80_d0.20,45,22,LRP2,0.1355952024459839,-22.0
recovery_heavy,r0.80_d0.20,45,23,EGFR,0.133788526058197,-23.0
recovery_heavy,r0.80_d0.20,45,24,PTEN,0.0791524425148963,-24.0
recovery_heavy,r0.80_d0.20,45,25,NRIP1,0.0765624269843101,-25.0
recovery_heavy,r0.80_d0.20,45,26,BIRC6,0.0701009258627891,-26.0
recovery_heavy,r0.80_d0.20,45,27,JAK2,0.0666842311620712,-27.0
recovery_heavy,r0.80_d0.20,45,28,LRP1,0.0670287162065506,-28.0
recovery_heavy,r0.80_d0.20,45,29,MAP2K3,0.0677230656147003,-29.0
recovery_heavy,r0.80_d0.20,45,30,PDGFRA,0.062712550163269,-30.0
recovery_heavy,r0.80_d0.20,45,31,PRKDC,0.0668770745396614,-31.0
recovery_heavy,r0.80_d0.20,45,32,XPO1,0.0623090490698814,-32.0
recovery_heavy,r0.80_d0.20,45,33,SPTA1,0.0604079961776733,-33.0
recovery_heavy,r0.80_d0.20,45,34,LRP1B,0.0583133362233638,-34.0
recovery_heavy,r0.80_d0.20,45,35,WASL,0.0562874525785446,-35.0
recovery_heavy,r0.80_d0.20,45,36,RANBP2,0.0539884753525257,-36.0
recovery_heavy,r0.80_d0.20,45,37,NOS1,0.0525874607264995,-37.0
recovery_heavy,r0.80_d0.20,45,38,ERBB4,0.051748402416706,-38.0
recovery_heavy,r0.80_d0.20,45,39,APC,0.0502160862088203,-39.0
recovery_heavy,r0.80_d0.20,45,40,BLM,0.0499955117702484,-40.0
recovery_heavy,r0.80_d0.20,45,41,TAF1,0.0483072847127914,-41.0
recovery_heavy,r0.80_d0.20,45,42,PDE4DIP,0.0443510934710502,-42.0
recovery_heavy,r0.80_d0.20,45,43,FLG,0.0463992096483707,-43.0
recovery_heavy,r0.80_d0.20,45,44,RYR1,0.0438969731330871,-44.0
recovery_heavy,r0.80_d0.20,45,45,CLTC,0.0442284867167472,-45.0
recovery_heavy,r0.80_d0.20,45,46,KIF1B,0.042113572359085,-46.0
recovery_heavy,r0.80_d0.20,45,47,HSPA8,0.0418841838836669,-47.0
recovery_heavy,r0.80_d0.20,45,48,DNMT1,0.0368453040719032,-48.0
recovery_heavy,r0.80_d0.20,45,49,PTPN13,0.0331716649234294,-49.0
recovery_heavy,r0.80_d0.20,45,50,CSF1R,0.0290975142270326,-50.0
recovery_heavy,r0.80_d0.20,45,51,BCL6,0.0201974269002676,-51.0
recovery_heavy,r0.80_d0.20,45,52,FBN2,0.0131843890994787,-52.0
recovery_heavy,r0.80_d0.20,45,53,SPTAN1,0.0160522758960723,-53.0
recovery_heavy,r0.80_d0.20,45,54,RYR2,0.0118283005431294,-54.0
recovery_heavy,r0.80_d0.20,45,55,SVEP1,0.0119564495980739,-55.0
recovery_heavy,r0.80_d0.20,45,56,GRIN2B,0.011452960781753,-56.0
recovery_heavy,r0.80_d0.20,45,57,COL1A2,0.0140372272580862,-57.0
recovery_heavy,r0.80_d0.20,45,58,ZMYM2,0.0137355858460068,-58.0
recovery_heavy,r0.80_d0.20,45,59,PLEC,0.0129731418564915,-59.0
recovery_heavy,r0.80_d0.20,45,60,NFE2L2,0.0116470400243997,-60.0
recovery_heavy,r0.80_d0.20,45,61,ABCA1,0.008327973075211,-61.0
