Profile,Preference,Seed,Rank,Gene,BanditRolloutScore,BanditRankScore
discovery_heavy,r0.20_d0.80,42,1,VHL,1.0083316564559937,-1.0
discovery_heavy,r0.20_d0.80,42,2,GALNT11,0.7934633493423462,-2.0
discovery_heavy,r0.20_d0.80,42,3,PBRM1,0.4989369809627533,-3.0
discovery_heavy,r0.20_d0.80,42,4,MUC4,0.6387211680412292,-4.0
discovery_heavy,r0.20_d0.80,42,5,SETD2,0.3969672620296478,-5.0
discovery_heavy,r0.20_d0.80,42,6,BAP1,0.3381491899490356,-6.0
discovery_heavy,r0.20_d0.80,42,7,MTOR,0.3053971827030182,-7.0
discovery_heavy,r0.20_d0.80,42,8,TP53,0.264978289604187,-8.0
discovery_heavy,r0.20_d0.80,42,9,EGFR,0.3094136118888855,-9.0
discovery_heavy,r0.20_d0.80,42,10,BRCA1,0.1299892663955688,-10.0
discovery_heavy,r0.20_d0.80,42,11,SHC1,0.0667382851243019,-11.0
discovery_heavy,r0.20_d0.80,42,12,SRC,0.057434819638729,-12.0
discovery_heavy,r0.20_d0.80,42,13,JAK2,0.0439357124269008,-13.0
discovery_heavy,r0.20_d0.80,42,14,FNDC5,0.0403118357062339,-14.0
discovery_heavy,r0.20_d0.80,42,15,PAK6,0.0422368384897708,-15.0
discovery_heavy,r0.20_d0.80,42,16,PIK3R1,0.0428745038807392,-16.0
discovery_heavy,r0.20_d0.80,42,17,PTS,0.0408807583153247,-17.0
discovery_heavy,r0.20_d0.80,42,18,JUN,0.0451877787709236,-18.0
discovery_heavy,r0.20_d0.80,42,19,EP300,0.0476563274860382,-19.0
discovery_heavy,r0.20_d0.80,42,20,ATM,0.0445757173001766,-20.0
discovery_heavy,r0.20_d0.80,42,21,TBC1D1,0.0428791530430316,-21.0
discovery_heavy,r0.20_d0.80,42,22,KIAA0930,0.0427432246506214,-22.0
discovery_heavy,r0.20_d0.80,42,23,AR,0.0427709519863128,-23.0
discovery_heavy,r0.20_d0.80,42,24,AKT1,0.0412898249924182,-24.0
discovery_heavy,r0.20_d0.80,42,25,PRKCD,0.0399291105568409,-25.0
discovery_heavy,r0.20_d0.80,42,26,FARP2,0.0387722924351692,-26.0
discovery_heavy,r0.20_d0.80,42,27,CREBBP,0.0375662520527839,-27.0
discovery_heavy,r0.20_d0.80,42,28,KIF1A,0.0363536663353443,-28.0
discovery_heavy,r0.20_d0.80,42,29,SOS1,0.0347217917442321,-29.0
discovery_heavy,r0.20_d0.80,42,30,RELA,0.0337421298027038,-30.0
discovery_heavy,r0.20_d0.80,42,31,SMAD2,0.0329050868749618,-31.0
discovery_heavy,r0.20_d0.80,42,32,NMT2,0.0333741195499897,-32.0
discovery_heavy,r0.20_d0.80,42,33,RARA,0.0334688872098922,-33.0
discovery_heavy,r0.20_d0.80,42,34,HSP90AA1,0.0325049012899398,-34.0
discovery_heavy,r0.20_d0.80,42,35,SMARCA4,0.0319119580090045,-35.0
discovery_heavy,r0.20_d0.80,42,36,PTPN6,0.0300942659378051,-36.0
discovery_heavy,r0.20_d0.80,42,37,CHD3,0.0294301528483629,-37.0
discovery_heavy,r0.20_d0.80,42,38,NCOR1,0.0286126732826232,-38.0
discovery_heavy,r0.20_d0.80,42,39,LARP1,0.0264271982014179,-39.0
discovery_heavy,r0.20_d0.80,42,40,ABL1,0.0259090717881917,-40.0
discovery_heavy,r0.20_d0.80,42,41,RALGPS2,0.0239427331835031,-41.0
discovery_heavy,r0.20_d0.80,42,42,HDAC1,0.0232607796788215,-42.0
discovery_heavy,r0.20_d0.80,42,43,DHX15,0.0234177466481924,-43.0
discovery_heavy,r0.20_d0.80,42,44,PTPN11,0.0227901637554168,-44.0
discovery_heavy,r0.20_d0.80,42,45,IRS1,0.0217178240418434,-45.0
discovery_heavy,r0.20_d0.80,42,46,PPP2R2B,0.0195580478757619,-46.0
discovery_heavy,r0.20_d0.80,42,47,GRB2,0.0195028223097324,-47.0
discovery_heavy,r0.20_d0.80,42,48,INSR,0.0209373962134122,-48.0
discovery_heavy,r0.20_d0.80,42,49,NCOR2,0.0190558210015296,-49.0
discovery_heavy,r0.20_d0.80,42,50,STAT1,0.0164314750581979,-50.0
discovery_heavy,r0.20_d0.80,42,51,SMYD2,0.0153697729110717,-51.0
discovery_heavy,r0.20_d0.80,42,52,PTPN5,0.0154595486819744,-52.0
discovery_heavy,r0.20_d0.80,42,53,RBAK,0.0151476981118321,-53.0
discovery_heavy,r0.20_d0.80,42,54,FYN,0.0146898450329899,-54.0
discovery_heavy,r0.20_d0.80,42,55,PML,0.0141464006155729,-55.0
discovery_heavy,r0.20_d0.80,42,56,NUAK2,0.0126954670995473,-56.0
discovery_heavy,r0.20_d0.80,42,57,JMJD1C,0.012710821814835,-57.0
discovery_heavy,r0.20_d0.80,42,58,MAP3K1,0.0120797036215662,-58.0
discovery_heavy,r0.20_d0.80,42,59,KIT,0.0117100365459918,-59.0
discovery_heavy,r0.20_d0.80,42,60,HSPA8,0.0117084868252277,-60.0
discovery_heavy,r0.20_d0.80,42,61,DOCK7,0.0123680466786026,-61.0
discovery_heavy,r0.20_d0.80,42,62,NEDD1,0.0116971973329782,-62.0
discovery_heavy,r0.20_d0.80,42,63,PIK3CA,0.0122402077540755,-63.0
discovery_heavy,r0.20_d0.80,42,64,NCOA3,0.0120131615549325,-64.0
discovery_heavy,r0.20_d0.80,42,65,ENC1,0.0117249488830566,-65.0
discovery_heavy,r0.20_d0.80,42,66,SALL1,0.0126540418714284,-66.0
discovery_heavy,r0.20_d0.80,42,67,TMEM102,0.0131897088140249,-67.0
discovery_heavy,r0.20_d0.80,42,68,XPO1,0.0143968574702739,-68.0
discovery_heavy,r0.20_d0.80,42,69,INPP5E,0.0146409282460808,-69.0
discovery_heavy,r0.20_d0.80,42,70,JMY,0.0154639966785907,-70.0
discovery_heavy,r0.20_d0.80,42,71,MIER1,0.015590775758028,-71.0
discovery_heavy,r0.20_d0.80,42,72,MLL2,0.0164749734103679,-72.0
discovery_heavy,r0.20_d0.80,42,73,TCF20,0.0152246952056884,-73.0
discovery_heavy,r0.20_d0.80,42,74,FAM82A2,0.0152513980865478,-74.0
discovery_heavy,r0.20_d0.80,42,75,HOXB3,0.0161980632692575,-75.0
discovery_heavy,r0.20_d0.80,42,76,USP37,0.0166312213987112,-76.0
discovery_heavy,r0.20_d0.80,42,77,AFAP1L2,0.0172711126506328,-77.0
discovery_heavy,r0.20_d0.80,42,78,PCNA,0.0176227819174528,-78.0
discovery_heavy,r0.20_d0.80,42,79,FGD6,0.0186840761452913,-79.0
discovery_heavy,r0.20_d0.80,42,80,MTCH2,0.0187752731144428,-80.0
discovery_heavy,r0.20_d0.80,42,81,SHISA5,0.0200952291488647,-81.0
discovery_heavy,r0.20_d0.80,42,82,SH3BP4,0.0215249061584472,-82.0
discovery_heavy,r0.20_d0.80,42,83,MN1,0.0219490770250558,-83.0
discovery_heavy,r0.20_d0.80,42,84,MPZL1,0.0214401241391897,-84.0
discovery_heavy,r0.20_d0.80,42,85,PRKCZ,0.0227646362036466,-85.0
discovery_heavy,r0.20_d0.80,42,86,PLAGL1,0.0234652757644653,-86.0
discovery_heavy,r0.20_d0.80,42,87,PTK2B,0.0231199264526367,-87.0
discovery_heavy,r0.20_d0.80,42,88,BCAR1,0.0226768497377634,-88.0
discovery_heavy,r0.20_d0.80,42,89,CEP170,0.0231379978358745,-89.0
discovery_heavy,r0.20_d0.80,42,90,NRIP1,0.0230753906071186,-90.0
discovery_heavy,r0.20_d0.80,42,91,FBXO11,0.0232581850141286,-91.0
discovery_heavy,r0.20_d0.80,42,92,CD33,0.0231801737099885,-92.0
discovery_heavy,r0.20_d0.80,42,93,ZNF83,0.0243742242455482,-93.0
discovery_heavy,r0.20_d0.80,42,94,SVIL,0.0250308029353618,-94.0
discovery_heavy,r0.20_d0.80,42,95,MAPK3,0.0248677376657724,-95.0
discovery_heavy,r0.20_d0.80,42,96,EIF2AK4,0.0243479739874601,-96.0
discovery_heavy,r0.20_d0.80,42,97,SPEN,0.0235687978565692,-97.0
discovery_heavy,r0.20_d0.80,42,98,WNK1,0.0227402932941913,-98.0
discovery_heavy,r0.20_d0.80,42,99,GRIN2B,0.0217599868774414,-99.0
discovery_heavy,r0.20_d0.80,42,100,MYC,0.0220765359699726,-100.0
discovery_heavy,r0.20_d0.80,42,101,ST6GALNAC2,0.0223672613501548,-101.0
discovery_heavy,r0.20_d0.80,42,102,PRDM4,0.0233699325472116,-102.0
discovery_heavy,r0.20_d0.80,42,103,SMAD3,0.0238600019365549,-103.0
discovery_heavy,r0.20_d0.80,42,104,THRAP3,0.0234325397759675,-104.0
discovery_heavy,r0.20_d0.80,42,105,CSDA,0.0241419300436973,-105.0
discovery_heavy,r0.20_d0.80,42,106,VAV1,0.0253375768661499,-106.0
discovery_heavy,r0.20_d0.80,42,107,DAXX,0.0252265930175781,-107.0
discovery_heavy,r0.20_d0.80,42,108,GPBP1,0.0256453286856412,-108.0
discovery_heavy,r0.20_d0.80,42,109,ZBTB16,0.0264486540108919,-109.0
discovery_heavy,r0.20_d0.80,42,110,CBL,0.0268563032150268,-110.0
discovery_heavy,r0.20_d0.80,42,111,ESR1,0.0259546991437673,-111.0
discovery_heavy,r0.20_d0.80,42,112,ZNF329,0.0240934360772371,-112.0
discovery_heavy,r0.20_d0.80,42,113,HOXB4,0.0249007698148489,-113.0
discovery_heavy,r0.20_d0.80,42,114,CCNB2,0.0260066278278827,-114.0
discovery_heavy,r0.20_d0.80,42,115,MYCBP2,0.0267589576542377,-115.0
discovery_heavy,r0.20_d0.80,42,116,NAT8,0.0235883481800556,-116.0
discovery_heavy,r0.20_d0.80,42,117,MAPK1,0.0255159381777048,-117.0
discovery_heavy,r0.20_d0.80,42,118,UCP2,0.0250937715172767,-118.0
discovery_heavy,r0.20_d0.80,42,119,DYNC1H1,0.0262547731399536,-119.0
discovery_heavy,r0.20_d0.80,42,120,FN1,0.0245419740676879,-120.0
discovery_heavy,r0.20_d0.80,42,121,PTK2,0.0232688654214143,-121.0
discovery_heavy,r0.20_d0.80,42,122,CTPS1,0.0219443328678607,-122.0
discovery_heavy,r0.20_d0.80,42,123,PRPF38B,0.0226850993931293,-123.0
discovery_heavy,r0.20_d0.80,42,124,SYNJ2,0.0239621642976999,-124.0
discovery_heavy,r0.20_d0.80,42,125,CTNNB1,0.024225927889347,-125.0
discovery_heavy,r0.20_d0.80,42,126,PTPRR,0.0234543085098266,-126.0
discovery_heavy,r0.20_d0.80,42,127,SAMD4A,0.0243243928998708,-127.0
discovery_heavy,r0.20_d0.80,42,128,LRCH3,0.02495195902884,-128.0
discovery_heavy,r0.20_d0.80,42,129,AASDHPPT,0.0253844503313303,-129.0
discovery_heavy,r0.20_d0.80,42,130,DDC,0.0269438754767179,-130.0
discovery_heavy,r0.20_d0.80,42,131,NFIA,0.0279703848063945,-131.0
discovery_heavy,r0.20_d0.80,42,132,CRTC1,0.0286538861691951,-132.0
discovery_heavy,r0.20_d0.80,42,133,ING4,0.0291986688971519,-133.0
discovery_heavy,r0.20_d0.80,42,134,FGFR1,0.0306066982448101,-134.0
discovery_heavy,r0.20_d0.80,42,135,MTA3,0.0313743092119693,-135.0
discovery_heavy,r0.20_d0.80,42,136,PPP6R3,0.0323971286416053,-136.0
discovery_heavy,r0.20_d0.80,42,137,ZNF398,0.0325191281735897,-137.0
discovery_heavy,r0.20_d0.80,42,138,DENND4A,0.0334575660526752,-138.0
discovery_heavy,r0.20_d0.80,42,139,SREK1,0.0334090217947959,-139.0
